Ticker,DTYYYYMMDD,Date,Open,High,Low,Close,Volume
HVN,20170103,2017-01-03,20.29,20.29,20.29,20.29,700
HVN,20170104,2017-01-04,23.29,23.29,23.29,23.29,8868
HVN,20170105,2017-01-05,26.76,26.76,23.81,25.51,764180
HVN,20170106,2017-01-06,27.02,27.02,22.77,22.77,250926
HVN,20170109,2017-01-09,23.91,23.91,21.22,21.63,159553
HVN,20170110,2017-01-10,21.63,22.82,20.34,22.25,129615
HVN,20170111,2017-01-11,21.89,22.77,21.74,22.51,91056
HVN,20170112,2017-01-12,22.36,22.51,21.99,21.99,113008
HVN,20170113,2017-01-13,21.94,22.05,21.74,21.84,168714
HVN,20170116,2017-01-16,21.74,21.74,20.75,21.22,111337
HVN,20170117,2017-01-17,20.96,21.06,20.44,20.65,163282
HVN,20170118,2017-01-18,20.44,20.65,19.67,20.18,115276
HVN,20170119,2017-01-19,20.08,20.44,19.82,20.18,67936
HVN,20170120,2017-01-20,19.92,20.08,19.56,19.72,172546
HVN,20170123,2017-01-23,19.67,19.77,19.56,19.72,95764
HVN,20170124,2017-01-24,19.67,19.92,19.67,19.82,92226
HVN,20170125,2017-01-25,19.72,20.03,19.67,19.92,144059
HVN,20170202,2017-02-02,20.18,20.24,19.72,20.13,35528
HVN,20170203,2017-02-03,20.34,20.49,19.98,20.03,191300
HVN,20170206,2017-02-06,20.18,20.18,19.82,19.98,86780
HVN,20170207,2017-02-07,19.92,19.92,19.67,19.77,131437
HVN,20170208,2017-02-08,19.67,20.29,19.67,20.08,95870
HVN,20170209,2017-02-09,20.13,20.13,19.92,20.03,76107
HVN,20170210,2017-02-10,20.03,22.25,20.03,22.2,440047
HVN,20170213,2017-02-13,22.25,23.19,21.99,22.82,281767
HVN,20170214,2017-02-14,22.87,23.03,21.89,21.89,239390
HVN,20170215,2017-02-15,21.79,22.1,21.37,21.48,364184
HVN,20170216,2017-02-16,21.53,21.53,20.39,20.55,583476
HVN,20170217,2017-02-17,20.34,20.55,20.13,20.44,765046
HVN,20170220,2017-02-20,20.75,21.94,20.44,21.68,2727835
HVN,20170221,2017-02-21,22.25,22.25,21.01,21.17,419088
HVN,20170222,2017-02-22,21.27,21.27,20.55,20.86,484550
HVN,20170223,2017-02-23,20.65,20.65,17.75,18.58,5427447
HVN,20170224,2017-02-24,19.05,19.05,16.2,17.08,6416518
HVN,20170227,2017-02-27,17.08,19.46,17.08,19.46,6787409
HVN,20170228,2017-02-28,20.7,20.7,17.08,18.11,4390004
HVN,20170301,2017-03-01,18.11,18.48,17.65,18.01,2181891
HVN,20170302,2017-03-02,18.11,18.42,17.7,17.96,1199643
HVN,20170303,2017-03-03,18.06,18.53,17.23,17.6,1844220
HVN,20170306,2017-03-06,17.6,17.65,16.72,16.77,2226822
HVN,20170307,2017-03-07,16.72,17.85,15.78,16.77,1606464
HVN,20170308,2017-03-08,16.72,17.6,16.56,17.34,850130
HVN,20170309,2017-03-09,17.34,17.54,16.87,16.97,697404
HVN,20170310,2017-03-10,16.87,17.08,16.51,16.66,1113605
HVN,20170313,2017-03-13,16.66,16.66,16.15,16.2,1126914
HVN,20170314,2017-03-14,16.25,16.3,15.73,15.84,1815647
HVN,20170315,2017-03-15,15.89,15.94,15.11,15.37,1514931
HVN,20170316,2017-03-16,15.01,15.99,15.01,15.94,837681
HVN,20170317,2017-03-17,15.89,16.41,15.78,15.99,888349
HVN,20170320,2017-03-20,16.15,16.15,15.63,15.99,722569
